"txtcontent","page","start.paragraph","end.paragraph","search.word.loc_total"
"BMC Pregnancy and Childbirth (2018) 18:289 https://doi.org/10.1186/s12884-018-1923-x  RESEARCH ARTICLE  Open Access  Management of Caesarean scar pregnancy with or without methotrexate before curettage: human chorionic gonadotropin trends and patient outcomes Sheng Wang, Rajluxmee Beejadhursing, Xiangyi Ma and Ya Li*  Abstract Background: To evaluate the effects of systemic methotrexate in cesarean scar pregnancy (CSP) patients treated with ultrasound-guided suction curettage. Methods: A retrospective review of all women presenting with CSP treated with ultrasound-guided suction curettage at Tongji Hospital, Wuhan, China, between January 1, 2013 and December 31, 2015, was conducted.",1,1,12,"1_1"
"Patients were grouped into those not treated with methotrexate before curettage (group 1), treated with methotrexate by intramuscular injection (group 2) and treated with methotrexate by intravenous injection (group 3).",1,12,12,"1_1"
"The clinical characteristics and outcomes were analyzed. Results: Among 107 patients, 47 patients were not treated with methotrexate before curettage, 46 patients had methotrexate administered by intramuscular injection and 14 patients had methotrexate injected intravenously.",1,12,13,"1_1"
"After treatment with methotrexate or curettage, the percentage changes and varied ranges of the hCG levels were also similar in all groups.",1,13,13,"1_1"
"However group 1 had significantly shorter hospital stays than the two groups that were treated with methotrexate (p<0.001). Conclusion: By grouping CSP patients who shared similar age, gravity, parity, fetal heart beat positive and gestational age at diagnosis, we found that the presence or absence of methotrexate treatment before curettage resulted in comparable outcomes and hCG levels, although patients who were not treated with methotrexate had significantly shorter stays in the hospital. Keywords: Cesarean scar pregnancy, Human chorionic gonadotropin, Methotrexate, Suction curettage, Protocol comparisons  * Correspondence: yalitjh@163.com Department of Obstetrics and Gynecology, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, People's Republic of China © The Author(s).",1,13,18,"1_1"
"Nevertheless, while the optimal management of CSP remains unclear, there is a variety of therapeutic strategies are currently in use, such as medical treatment with systemic MTX (methotrexate)$*, medical treatment with systemic and local MTX (methotrexate)$*, uterine curettage, hysteroscopy, resection of CSP through a transvaginal approach, uterine artery embolization, laparoscopy, and high-intensity focused ultrasound [2].",2,5,5,"1_1"
"Some complicated case may require combined application of several methods [3]. MTX (methotrexate)$* is a folic acid antagonist that inhibits the enzyme dihydrofolate reductase, thereby interfering with DNA synthesis in rapidly dividing cells such as trophoblasts.",2,5,6,"1_1"
"The first usage of MTX (methotrexate)$* in the treatment of ectopic pregnancy was reported by Tanaka et al. in an interstitial ectopic pregnancy in 1982 [4].",2,6,6,"1_1"
"Recently, MTX (methotrexate)$* has also used in treatment of cervical pregnancy, which is another form of ectopic pregnancy [5].",2,6,6,"1_1"
"CSP is a special type ectopic pregnancy and as such, some researchers have investigated the use of MTX (methotrexate)$* in conservative management or preliminary treatment of CSP prior to curettage [6, 7].",2,6,6,"1_1"
