"txtcontent","page","start.paragraph","end.paragraph","search.word.loc_total"
" Systematic Review and Meta-Analysis  Medicine®  OPEN  Methotrexate, doxorubicin, and cisplatinum regimen is still the preferred option for osteosarcoma chemotherapy  A meta-analysis and clinical observation Dapeng Yu, Medical Master Degreea, Shuisheng Zhang, Medical Doctor Degreeb, Alei Feng, Medical Doctor Degreec, Deguo Xu, Medical Master Degreed, Qingshan Zhu, Medical Master Degreee, Yantao Mao, Medical Master Degreef, Yi Zhao, Medical Doctor Degreeg, Yajuan Lv, Medical Master Degreed, Cuiping Han, Medical Master Degreed, Rujun Liu, Medical Master Degreeh, Yuan Tian, Medical Doctor Degreed,  Abstract Background: We designed the study to investigate whether methotrexate, doxorubicin, and cisplatinum (MAP) chemotherapy strategy was still the preferred option for the survival of osteosarcoma patients. Method: We collected some trials of osteosarcoma to make a meta-analysis first.",1,1,13,"1_1"
"The same phenomenon could also be seen in the analysis of clinical data. Conclusion: MAP regimen remains the preferred option for osteosarcoma chemotherapy. Abbreviations: CI = confidence interval, FE = fixed effect, HR = hazard ratios, MAP = methotrexate, doxorubicin, and cisplatin, MAP+ = MAP plus ifosfamide and etoposide, or other adjuvant therapy drugs, NCCN = National Comprehensive Cancer Network, OR = odds ratio, RE = random effect, RR = risk ratio. Keywords: clinical observation, MAP, meta-analysis, osteosarcoma, survival  Editor: Surinder Kumar. DY and SZ contributed equally to this work. This study was funded by the Natural Science Foundation of Shandong Province (ZR2015HL078 and ZR2015CL010), Medical and Health Technology Development Plan Project of Shandong Province (2014WS0357), and the National Natural Science Foundation of China (No.",1,14,21,"1_1"
"Although basic research on tumor markers has progressed rapidly in the field of osteosarcoma, treatment methods have changed little in clinical work.[1­5] Surgery, chemotherapy and selective radiotherapy are still the main treatments for patients with osteosarcoma.[6­12] It was reported that neoadjuvant chemotherapy including doxorubicin, methotrexate, and cisplatin with intercalated surgery is the standard of care for resectable osteosarcoma patients in those younger than 40 years.[11] The prognosis for osteosarcoma patients presenting with advanced or recurrent disease, or among those older than 40 years are generally poor.",2,6,6,"1_1"
"The combination of surgical removal of the tumor and systemic multidrug chemotherapy mainly consisting of methotrexate, adriamycin, and cisplatin with or without ifosfamide is the standard strategy to treat conventional osteosarcoma.[13] Postoperative adjuvant chemotherapy definitely improves disease-free and overall survival (OS) in patients with osteosarcoma,[13] while there was no advantage in event-free survival (EFS) for patients given presurgical chemotherapy.[14] After the failure of first-line treatment, second-line chemotherapy was often given to patients with osteosarcoma who were in good condition.",2,7,7,"1_1"
"During the process of searching, we mainly selected English studies ranged from January 1, 2000 to August 30, 2018 (Keywords: \"Osteosarcoma,\" \"osteoma,\" \"chemotherapy,\" \"doxorubicin,\" \"methotrexate,\" \"cisplatin,\" \"prognosis,\" \"radiotherapy,\" \"chemoradiotherapy,\" \"death,\" \"mortality\").",2,10,10,"1_1"
"Meta-analysis of 3-year event-free and OS rates Five studies (n = 2891) reported methotrexate, doxorubicin, and cisplatinum (MAP) (n = 1153) versus MAP plus ifosfamide and etoposide, or other adjuvant therapy drugs (MAP+) strategies (n = 1738) with the related data of 3 year EFS,[18,20,21,22,24] while only 3 studies of them were shown with the information of 3 year OS rates.[18,20,21] We took a RE model of meta-analysis to deal with all the data.",3,13,14,"1_1"
"EFS = event-free survival, FE = fixed effect, MAP+ = MAP plus ifosfamide and etoposide, or other adjuvant therapy drugs, MAP = methotrexate + doxorubicin + cisplatinum, OR = odds ratio, OS = overall survival, RE = random effect, RR = risk ratio.  3.3.",4,7,9,"1_1"
"EFS = event-free survival, FE = fixed effect, MAP+ = MAP plus ifosfamide and etoposide, or other adjuvant therapy drugs, MAP = Methotrexate + doxorubicin + cisplatinum, OR = odds ratio, OS = overall survival, RE = random effect, RR = risk ratio.  relatives of the patient.",5,5,7,"1_1"
"EFS = event-free survival, FE = fixed effect, MAP+ = MAP plus ifosfamide and etoposide, or other adjuvant therapy drugs, MAP = methotrexate + doxorubicin + cisplatinum, OR = odds ratio, OS = overall survival, PST = palliative supportive treatment, RE = random effect, RR = risk ratio. 5  Yu et al.",5,11,14,"1_1"
"Surgery, chemotherapy, and selective radiotherapy are still the main treatments for patients with osteosarcoma.[6­12] The 3-year EFS for high-grade osteosarcoma with multidrug chemotherapy and resection was reported to be 60% to 70%.[22,24,31,32] Chemotherapy combination, named MAP, including cisplatin, doxorubicin, and high-dose methotrexate, was mainly used for the therapy of osteosarcoma,[31,33­39] while MAP+, used for the treatment of patients with metastatic disease, seemed to improve EFS.[40­42] However, the conclusion was supported in individual clinical trials and was still controversial in many randomized controlled trials.[22,23,24,43] So, we performed this analysis and clinical observation to verify whether MAP and MAP+ have significant differences on the survival of patients. We took the evaluation of survival time of patients with osteosarcoma as the primary evaluation index.",6,133,134,"1_1"
